regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Trachéophytes,Angiospermes,131499,[131499],"Antirrhinum majus subsp. majus L., 1753",1,83058,"[83058, 131499]","Antirrhinum majus L., 1753",2,"[106, 107]",2,5,"cas3: 2 grappes, cas3: f_cd_ref","Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,83058,[83058],"Antirrhinum majus L., 1753",1,83058,"[83058, 131499]","Antirrhinum majus L., 1753",2,"[107, 106]",2,4,"cas3: 2 grappes, cas3: f_cd_ref","Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,80988,[80988],"Ajuga pyramidalis L., 1753",1,80988,"[80985, 80988]","Ajuga pyramidalis L., 1753",2,"[106, 107]",2,10,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,80990,"[80985, 80990, 152670]","Ajuga reptans L., 1753",3,80988,"[80985, 80988]","Ajuga pyramidalis L., 1753",2,"[107, 106]",2,15,cas3: f_cd_ref,"Conflicts with attributes : sinp_description, sinp_ecology",merge
Plantae,Trachéophytes,Angiospermes,109084,"[109006, 109033, 109084]","Myosotis ramosissima Rochel, 1814",3,137934,"[109033, 137934]","Myosotis ramosissima subsp. ramosissima Rochel, 1814",2,"[107, 106]",2,3,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Plantae,Trachéophytes,Angiospermes,137934,[137934],"Myosotis ramosissima subsp. ramosissima Rochel, 1814",1,137934,"[109033, 137934]","Myosotis ramosissima subsp. ramosissima Rochel, 1814",2,"[107, 106]",2,5,cas3: f_cd_ref,Conflicts with attributes : sinp_ecology,merge
Fungi,Basidiomycètes,Autres,464690,[464690],"Lactarius brunneoviolaceus M.P.Christ., 1941",1,464690,"[39423, 39424, 464690]","Lactarius brunneoviolaceus M.P.Christ., 1941",3,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,39388,[39388],"Lactarius pinastri Romagn., 1980",1,39455,"[39388, 39455]","Lactarius semisanguifluus R.Heim & Leclair, 1950",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,140522,[140522],"Salvia pratensis subsp. pratensis L., 1753",1,120685,"[120685, 140522]","Salvia pratensis L., 1753",2,[107],1,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,12527,[12527],"Plateumaris discolor (Panzer, 1795)",1,12528,"[12527, 12528]","Plateumaris sericea (Linnaeus, 1758)",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,29759,[29759],"Suillus viscidus (L.) Roussel, 1796",1,29759,"[29759, 470249]","Suillus viscidus (L.) Roussel, 1796",2,,,,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,112574,[112574],"Pedicularis comosa L., 1753",1,112574,"[112574, 138628]","Pedicularis comosa L., 1753",2,"[107, 106]",2,10,"cas3: 2 grappes, cas3: f_cd_ref",Merge attributes if exists,merge
